name,color,description,TasselColor1,TasselColor2,TasselColor3
Deluxe Black Bachelor Graduation Gown,Black,Matte Finish Deluxe Black Bachelor Gown &bull;Premium matte finished fabric for a classic and prestigious look &bull;Crease resistant and lightweight high quality fabric &bull;Deluxe fluting detail along shoulders and yoke &bull;Hidden zipper with hook eye clasp at the top &bull;Traditional full sleeves &bull;Pressed pleated front and back detailing,,,
Eco-Friendly Green Bachelor Graduation Gown,Green,Eco-Friendly Green Bachelor Gown  &bull;Made with green recycled PET fabric  &bull;Environmentally friendly  &bull;Sleek finish  &bull;Durable zipper in matching green color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Eco-Friendly Black Bachelor Graduation Gown,Black,Eco-Friendly Black Bachelor Gown  &bull;Made with Black recycled PET fabric  &bull;Environmentally friendly  &bull;Sleek finish  &bull;Durable zipper in matching Black color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny White Graduation Gown,White,Shiny White Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;White shiny tricot fabric  &bull;Durable zipper in matching white color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Silver Graduation Gown,Silver,Shiny Silver Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Silver shiny tricot fabric  &bull;Durable zipper in matching Silver color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Light Blue Graduation Gown,Light Blue,Shiny Light Blue Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Light Blue shiny tricot fabric  &bull;Durable zipper in matching Light Blue color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Royal Blue Graduation Gown,Royal Blue,Shiny Royal Blue Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Royal Blue shiny tricot fabric  &bull;Durable zipper in matching Royal Blue color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Navy Blue Graduation Gown,Navy Blue,Shiny Navy Blue Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Navy Blue shiny tricot fabric  &bull;Durable zipper in matching Navy Blue color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Purple Graduation Gown,Purple,Shiny Purple Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Purple shiny tricot fabric  &bull;Durable zipper in matching Purple color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Gold Graduation Gown,Gold,Shiny Gold Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Gold shiny tricot fabric  &bull;Durable zipper in matching Gold color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Orange Graduation Gown,Orange,Shiny Orange Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Orange shiny tricot fabric  &bull;Durable zipper in matching Orange color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
